title,type,description,cast,creators,directors,genres,mpaa,poster,duration,url,seasons,api_url
The 5th of July,movie,"While Orlando is spreading his father's ashes on a lake, he utters a curse. He then gets robbed, drugged, tazed, enslaved and now the cops are after him. Can Orlando reverse the curse in time to pick up his girlfriend, or lose her forever?",,,,,,https://media.unreel.me/prod/popcornflix/posters/8994583e-a514-42a5-b061-99d7002f4501,6120,https://www.popcornflix.com/movie/30-eg4jnhjyora7-the-5th-of-july,,https://api.unreel.me/v2/sites/popcornflix/channels/COMEDY/movies?__site=popcornflix&__source=web&page=0&pageSize=10000
Unsolved Mysteries With Robert Stack,series,"This episode includes: Coma Comeback, Update: Two Strikes, Palm Beach Embezzler, Twice Burned and Fumbles & UD.",Robert Stack,,John Cosgrove,,TV-MA,http://imghost.device.screenmedia.net/4159f34c-cab3-4c31-b54e-f9f87e8fa6dd-1598325647.jpg,,https://www.popcornflix.com/series/18-1mktdigoiiao-unsolved-mysteries-with-robert-stack,2,https://api.unreel.me/v2/sites/popcornflix/channels/ALL-TVSHOWS_SERIES/series?__site=popcornflix&__source=web&page=0&pageSize=10000
Train to Busan,movie,"While a zombie virus breaks out in South Korea, passengers struggle to survive on the train from Seoul to Busan.","Yoo Gong,Dong-seok Ma,Yu-mi Jung",,Sang-ho Yeon,Horror,R,http://imghost.device.screenmedia.net/48de9771-8f30-44da-994a-1cc08451f813-1588620088.jpg,7080,https://www.popcornflix.com/movie/18-edl0dx9qfmrj-train-to-busan,,https://api.unreel.me/v2/sites/popcornflix/channels/ASIAN-ACTION/movies?__site=popcornflix&__source=web&page=0&pageSize=10000
The American Way,movie,"Dix ans ont passé depuis la guerre du Vietnam. Installé a bord d'une forteresse volante, un groupe de vétérans pirate les émissions de télévision et séme la panique au Pentagone.","Michael J. Pollard,Eugene Lipinski,Dennis Hopper",,Maurice Phillips,Comedy,R,http://imghost.device.screenmedia.net/24999_AmericanWay_214x306_French.jpg,6240,https://www.popcornflix.com/movie/18-1a87c23c-0e94-4e5a-a4b3-ddde8e6a433b-the-american-way,,https://api.unreel.me/v2/sites/popcornflix/channels/COMDIE/movies?__site=popcornflix&__source=web&page=0&pageSize=10000
Cleanin' Up the Town -  Remembering Ghostbusters,movie,"The definitive Ghostbusters documentary charts the making of the greatest supernatural comedy of all time. Interviews with Dan Aykroyd, Harold Ramis, Ernie Hudson and others reveal a journey of ingenuity and innovation, along with a wealth of surprising anecdotes. Forty-six insightful, entertaining and heartfelt cast and crew interviews accompany never-before-seen archive material. This documentary demonstrates how the filmmakers collectively defied time constraints and all manner of technical challenges to make the movie that changed the film industry forever.","Michael C. Gross,Terry Windell,Dan Aykroyd,Richard Edlund,Ernie Hudson,Joe Medjuck,Ivan Reitman,Annie Potts,Harold Ramis",,Anthony Bueno,,TV-14,http://imghost.device.screenmedia.net/40699f77-0ebe-465b-a872-c890d0b7e607-1596833220.png,7680,https://www.popcornflix.com/movie/18-hmayfbe6gdmu-cleanin-up-the-town-remembering-ghostbusters,,https://api.unreel.me/v2/sites/popcornflix/channels/--NOT_SELECTED-/movies?__site=popcornflix&__source=web&page=0&pageSize=10000
Flash Point,movie,"Ma Jun, a cop known for dispensing justice during arrests, teams with Hua Sheng, who's undercover, to try to bring down three merciless Vietnamese brothers running a smuggling ring in the months before the mainland's takeover of Hong Kong. The eldest, Xian Wei Cha (called Zah), is arrested in an operation that exposes Sheng and almost gets him killed. His girlfriend, Qiu Di, who's been unaware of Sheng's profession, wants to see him quit. Jun pursues the gang tirelessly, sometimes ignoring police protocols. Zah's trial approaches, witnesses are in danger, and a showdown is inevitable.","Donnie Yen,Ray Lui,Louis Koo,Collin Chou",,Wilson Yip,Action/Thriller,R,http://imghost.device.screenmedia.net/54667_FlashPoint_214x306.jpg,5280,https://www.popcornflix.com/movie/18-ssolcxx3ypg7-flash-point,,https://api.unreel.me/v2/sites/popcornflix/channels/BROS-MOVIES/movies?__site=popcornflix&__source=web&page=0&pageSize=10000
Kid Cop,movie,"Sarah est la mère veuve de Peter, et ne veut pas que son fils devienne flic comme son père décédé. Elle s'inquiète dès qu'il se faufile hors de la maison pour jouer les détectives. Peter est pourtant décidé a résoudre une série de cambriolages dans son quartier.","Lewis Arquette,Sondra Currie,Edward Albert",,Robert Malenfant,Comedy,G,http://imghost.device.screenmedia.net/25124_KidCop_214x306_French.jpg,5640,https://www.popcornflix.com/movie/18-44763b70-3ed9-490e-b012-199af5041846-kid-cop,,https://api.unreel.me/v2/sites/popcornflix/channels/COMDIE_MOVIES/movies?__site=popcornflix&__source=web&page=0&pageSize=10000
Meek's Cutoff,movie,Settlers traveling through the Oregon desert in 1845 find themselves stranded in harsh conditions.,"Zoe Kazan,Michelle Williams,Paul Dano,Bruce Greenwood",,Kelly Reichardt,Drama,PG,http://imghost.device.screenmedia.net/28cbc528-0eb6-43c4-bd86-5b29e05fedd9-1581526862.jpg,6240,https://www.popcornflix.com/movie/18-2w0tfubvzrz9-meeks-cutoff,,https://api.unreel.me/v2/sites/popcornflix/channels/WESTERN/movies?__site=popcornflix&__source=web&page=0&pageSize=10000
The Journey,movie,"Lem Mills is destroying his family while being haunted by the pain of his past. As he searches for the one person that can free him from his guilt, he uncovers a devastating mystery that threatens to end his life, or save it.","Vernon Snoop Robinson,Autumn Cannon,Raison Thompson",,Jonetha Jomae Scott,,,http://imghost.device.screenmedia.net/1478e5bf-a820-486d-a0c7-63764f45ac1f-1579276741.jpg,5880,https://www.popcornflix.com/movie/18-dg0vztt4otuh-the-journey,,https://api.unreel.me/v2/sites/popcornflix/channels/URBAN/movies?__site=popcornflix&__source=web&page=0&pageSize=10000
Street Dreams Los Angeles,movie,"After a tragic event that takes the life of his childhood friend, Elijah meets an FBI agent that sets him on the right path. When he stumbles upon a terrorism case, Elijah sees it as the perfect opportunity to bring him into the FBI.","Kamy Bruder,Siya,Eric Bellinger",,"Romane Simon,Jordan Cann",,,http://imghost.device.screenmedia.net/afafad1e-2110-4505-a05d-05777c596304-1579280934.jpg,6300,https://www.popcornflix.com/movie/18-ptd1roz1dms7-street-dreams-los-angeles,,https://api.unreel.me/v2/sites/popcornflix/channels/URBAN_MOVIES/movies?__site=popcornflix&__source=web&page=0&pageSize=10000
Musti - The Kite,movie,"Musti is on holiday at the seaside. Daddy buys him a kite. When they fly it, the string runs out and the kite flies away. The kite gets stuck in the top of a palm tree. Coco's friend Bonito climbs the tree and frees the kite. As a reward, Daddy gives Bonito some bananas.",Rachel Frederickx,,Ray Goossens,Family/Kids,,http://imghost.device.screenmedia.net/43482_Musti47_214x306.jpg,0,https://www.popcornflix.com/movie/18-a4f9c401-c3b1-490e-9849-2531feee2c38-musti-the-kite,,https://api.unreel.me/v2/sites/popcornflix/channels/TV_SHOWS_SERIES/movies?__site=popcornflix&__source=web&page=0&pageSize=10000
Dave Made a Maze,movie,"An unaccomplished and frustrated artist builds a cardboard box fort in his living room and winds up trapped with a gang of oddball explorers in a fantasy world of his own creation, threatened by booby traps and a bloodthirsty Minotaur.",,,,,,https://media.unreel.me/prod/popcornflix/posters/b46c155b-62d4-4bdd-8a7a-fc3c2f1fcc02,4860,https://www.popcornflix.com/movie/30-xprheheslm2t-dave-made-a-maze,,https://api.unreel.me/v2/sites/popcornflix/channels/COMEDY/movies?__site=popcornflix&__source=web&page=0&pageSize=10000
Road To Race Day,series,Chase Elliott and the Number 24 team experience growing pains as they race to the checkered flag amidst the roar of NASCAR's biggest crowd.,"Chase Elliott,Dale Earnhardt Jr.",,Cynthia Hill,,TV-G,http://imghost.device.screenmedia.net/00d5a4b2-1098-4bc3-bfe9-704eb84ca8f5-1597718541.jpg,,https://www.popcornflix.com/series/18-q5nvwbhbanu3-road-to-race-day,1,https://api.unreel.me/v2/sites/popcornflix/channels/ALL-TVSHOWS_SERIES/series?__site=popcornflix&__source=web&page=0&pageSize=10000
Tokyo Gore Police,movie,"In the near future, the Tokyo Police Corporation is locked in a bloody war with the ""engineers,"" genetically modified super-criminals who fuse their wounds weapons. Ruka, the top engineer hunter, must track them to their home base and eliminate the engineers once and for all.","Itsuji Itao,Eihi Shiina,Yukihide Benny",,Yoshihiro Nishimura,Horror,,http://imghost.device.screenmedia.net/54420_TokyoGorePolice_214x306.jpg,6540,https://www.popcornflix.com/movie/18-06292e1e-2b25-454c-91db-9351f2c9afe3-tokyo-gore-police,,https://api.unreel.me/v2/sites/popcornflix/channels/ASIAN-ACTION/movies?__site=popcornflix&__source=web&page=0&pageSize=10000
Very Big Stress,movie,"A la Jeffers Corporation, importante société très rentable, le travail est si stressant que les employés explosent, littéralement. Autour de lui, George voit ses collègues éclater comme des ballons de baudruche. Il se met a faire des rêves étranges, un signe avant-coureur selon son médecin.","Judy Greer,Mía Maestro,Zach Galifianakis",,Jared Drake,,R,http://imghost.device.screenmedia.net/24489_Visioneers_french_roku.jpg,5640,https://www.popcornflix.com/movie/18-ff2afc01-216c-4e05-9bda-b28f4fe67e7f-very-big-stress,,https://api.unreel.me/v2/sites/popcornflix/channels/COMDIE/movies?__site=popcornflix&__source=web&page=0&pageSize=10000
Demon Seed,movie,"A scientist creates Proteus, an organic super computer with artificial intelligence which becomes obsessed with human beings, and in particular the creators wife.","Gerrit Graham,Fritz Weaver,Julie Christie",,Donald Cammell,,R,http://imghost.device.screenmedia.net/2ea3cc37-befd-41b3-b6ec-60527c12e0c3-1568740563.png,5700,https://www.popcornflix.com/movie/18-ift3jkh6oas9-demon-seed,,https://api.unreel.me/v2/sites/popcornflix/channels/--NOT_SELECTED-/movies?__site=popcornflix&__source=web&page=0&pageSize=10000
"Oliver, Stoned.",movie,"The world's biggest stoner, Oliver, loses a high profile car, forcing him to steal an ice cream truck and enlist his wacky friends to help track down the thief before it's too late.","Seth Cassell,Pete Gardner,Ryan Malgarini,Brea Grant",,Tom Morris,Comedy,,http://imghost.device.screenmedia.net/55850_OliverStoned_214x306.jpg,5520,https://www.popcornflix.com/movie/18-uy6po2g7yvsy-oliver-stoned,,https://api.unreel.me/v2/sites/popcornflix/channels/BROS-MOVIES/movies?__site=popcornflix&__source=web&page=0&pageSize=10000
Down in the Valley,movie,"Set in the present day San Fernando Valley, the project revolves around a delusional man who believes he's a cowboy and the relationship that he starts with a rebellious young woman.","Evan Rachel Wood,Edward Norton",,David Jacobson,Drama,R,http://imghost.device.screenmedia.net/137642a1-cac0-4a77-bb58-b8119a45c836-1578066811.png,7020,https://www.popcornflix.com/movie/18-jt8leynmgj7m-down-in-the-valley,,https://api.unreel.me/v2/sites/popcornflix/channels/WESTERN/movies?__site=popcornflix&__source=web&page=0&pageSize=10000
Once Upon a Time in Detroit,movie,"Defense Attorney Bobby Johnson is on a hot streak after years of struggling to make it. With a new love and his career taking off, nothing can stop him. All of a sudden, a family tragedy sends him down the dark, twisted path of a life of crime.","Rodnery Perry,Arlen Griffin,Joe Blount,Howie Bell",,Joe Blount,,,http://imghost.device.screenmedia.net/27d97305-ad11-43be-be79-a5ff2234f778-1579215636.jpg,6240,https://www.popcornflix.com/movie/18-gqg97ao9qmu6-once-upon-a-time-in-detroit,,https://api.unreel.me/v2/sites/popcornflix/channels/URBAN/movies?__site=popcornflix&__source=web&page=0&pageSize=10000
Malicious Intent,movie,"Six years after the murder of Calvin James, life has moved on and his daughter, Christina, runs the family firm. Now a young man surfaces and wants to claim a stake in the family estate. When the pot gets stirred and tensions run high, Christina doesn't know who to trust.","Shane Hill,Connie McCoy,George Anjorin,Charles Tamon",,Karim Shyllon,,,http://imghost.device.screenmedia.net/3babee85-0d68-4c32-b58b-24e978c0c3d1-1579276108.jpg,4920,https://www.popcornflix.com/movie/18-suzzftwiureh-malicious-intent,,https://api.unreel.me/v2/sites/popcornflix/channels/URBAN_MOVIES/movies?__site=popcornflix&__source=web&page=0&pageSize=10000
Musti - Dolly The Dolphin,movie,"Musti, Laura and Sam are watching the dolphin show at the zoo. Musti volunteers to help the dolphin trainer with the tricks. He gets Dolly the dolphin to jump and to play ball. And then Dolly pushes Musti along in a little boat. Dolly is happy because Musti gives her some fish.",Rachel Frederickx,,Ray Goossens,Family/Kids,,http://imghost.device.screenmedia.net/43479_Musti46_214x306.jpg,0,https://www.popcornflix.com/movie/18-1f88eb9d-6fb8-442a-9cee-04a4292973b0-musti-dolly-the-dolphin,,https://api.unreel.me/v2/sites/popcornflix/channels/TV_SHOWS_SERIES/movies?__site=popcornflix&__source=web&page=0&pageSize=10000
On the Ropes,series,Aspiring boxing trainer Amirah Al-Amir secures a pro debut fight for competitor Jess O'Connor.,"Igal Naor,Keisha Castle-Hughes,Nicole Chamoun",,Shannon Murphy,Drama,TV-14,http://imghost.device.screenmedia.net/24e66e39-2abb-4609-94ce-2580e42ea403-1573146335.png,,https://www.popcornflix.com/series/18-7fc43obkrawf-on-the-ropes,1,https://api.unreel.me/v2/sites/popcornflix/channels/TV_SHOWS/series?__site=popcornflix&__source=web&page=0&pageSize=10000
